"","belongs_to_collection","budget","original_language","production_companies","revenue","runtime","famous_count","Drama","Action","Romance","Adventure","Crime","Science.Fiction","Horror","Family","Fantasy","Animation","History","Documentary","Western","Foreign"
"140","FALSE",9e+07,"English","NBCUniversal",142940100,178,5,"1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"141","TRUE",8.5e+07,"English","Smaller company",311312624,122,12,"0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"142","FALSE",6e+06,"Europe","Smaller company",9524340,105,0,"1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"143","FALSE",7800000,"English","Smaller company",22441323,102,2,"0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"144","TRUE",5e+07,"English","Paramount Global",119208989,104,3,"0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"145","FALSE",1e+07,"English","Smaller company",45742101,105,8,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"146","TRUE",8e+07,"English","NBCUniversal",484572835,101,6,"0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"147","FALSE",1.2e+07,"English","Smaller company",1381665,112,4,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"148","FALSE",1e+08,"English","Smaller company",82102379,104,7,"0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"149","FALSE",12500000,"English","Smaller company",12281551,120,16,"0","1","1","0","1","0","0","0","0","0","0","0","0","0"
"150","FALSE",4.6e+07,"English","Smaller company",113714830,118,6,"0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"151","FALSE",4361898,"English","Smaller company",3031801,92,1,"0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"152","FALSE",2.5e+07,"English","Smaller company",156822020,138,7,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"153","FALSE",3.3e+07,"English","Warner Bros. Entertainment",62022014,105,5,"0","1","0","0","1","0","1","0","0","0","0","0","0","0"
"154","FALSE",1.2e+07,"Asia","Smaller company",15250000,114,1,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"155","TRUE",6.3e+07,"English","NBCUniversal",920100000,127,6,"0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"156","TRUE",7.3e+07,"English","NBCUniversal",229074524,129,7,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"157","TRUE",9.3e+07,"English","NBCUniversal",368780809,92,6,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"158","FALSE",3.7e+07,"English","Warner Bros. Entertainment",48451803,188,13,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
