"","id","original_title","belongs_to_collection","budget","original_language","production_companies","revenue","runtime","famous_count"
"2749",22597,"The Broken Hearts Club: A Romantic Comedy",FALSE,1e+06,"English","Smaller company",1744858,94,4
"2750",22717,"वांटेड",FALSE,75,"English","Smaller company",134,129,0
"2751",22787,"Whiteout",FALSE,4e+07,"English","Smaller company",12206028,101,1
"2752",22794,"Cloudy with a Chance of Meatballs",TRUE,1e+08,"English","Sony Pictures Entertainment",242988466,90,14
"2753",22796,"Simon Birch",FALSE,2e+07,"English","The Walt Disney Studios",18253415,114,5
"2754",22798,"Whip It",FALSE,1.5e+07,"English","Warner Bros. Entertainment",16633035,111,6
"2755",22803,"Law Abiding Citizen",FALSE,5.3e+07,"English","Smaller company",126690726,109,10
"2756",22804,"Saw VI",TRUE,1.1e+07,"English","Smaller company",68233629,90,3
"2757",22821,"The Boondock Saints II: All Saints Day",TRUE,8e+06,"English","Smaller company",10629321,118,4
"2758",22824,"The Fourth Kind",FALSE,1e+07,"English","NBCUniversal",42333295,98,4
"2759",22825,"The Box",FALSE,3e+07,"English","Smaller company",33333531,115,7
"2760",22832,"Ninja Assassin",FALSE,4e+07,"English","Smaller company",60462347,99,1
"2761",22881,"The Blind Side",FALSE,2.9e+07,"English","Warner Bros. Entertainment",309208309,129,2
"2762",22894,"Legion",FALSE,2.6e+07,"English","Smaller company",67918658,100,6
"2763",22897,"It's Complicated",FALSE,8.5e+07,"English","NBCUniversal",219103655,121,8
"2764",22907,"Takers",FALSE,3.2e+07,"English","Smaller company",69055695,107,7
"2765",22947,"Up in the Air",FALSE,2.5e+07,"English","Paramount Global",163670000,109,9
"2766",22949,"Old Dogs",FALSE,3.5e+07,"English","The Walt Disney Studios",92219310,88,12
"2767",22954,"Invictus",FALSE,6e+07,"English","Warner Bros. Entertainment",122233971,134,2
"2768",22970,"The Cabin in the Woods",FALSE,3e+07,"English","Smaller company",66486080,95,6
"2769",22971,"Dear John",FALSE,2.5e+07,"English","Sony Pictures Entertainment",114977104,115,4
"2770",22972,"Green Zone",FALSE,1e+08,"English","NBCUniversal",94882889,115,7
"2771",23023,"Tooth Fairy",TRUE,4.8e+07,"English","Warner Bros. Entertainment",112462508,101,2
"2772",23047,"Season of the Witch",FALSE,4e+07,"English","Smaller company",88100000,95,4
"2773",23048,"Hot Tub Time Machine",TRUE,3.6e+07,"English","Smaller company",64572262,101,6
"2774",23049,"My Life in Ruins",FALSE,1.7e+07,"English","The Walt Disney Studios",20455276,95,2
"2775",23082,"The Invention of Lying",FALSE,18500000,"English","Smaller company",31912793,100,10
"2776",23168,"The Town",FALSE,3.7e+07,"English","Smaller company",154026136,125,8
"2777",23169,"Remember Me",FALSE,1.6e+07,"English","Smaller company",56032889,113,4
"2778",23172,"The Spy Next Door",FALSE,2.8e+07,"English","Smaller company",45236543,94,2
"2779",23174,"It's Alive",FALSE,1.1e+07,"English","Smaller company",15500000,80,0
"2780",23367,"Bandslam",FALSE,2e+07,"English","Smaller company",5210988,111,1
"2781",23398,"Alvin and the Chipmunks: The Squeakquel",TRUE,7.5e+07,"English","The Walt Disney Studios",443140005,88,6
"2782",23437,"A Nightmare on Elm Street",TRUE,3.5e+07,"English","Warner Bros. Entertainment",115664037,95,4
"2783",23451,"Videocracy",FALSE,7e+05,"English","Smaller company",1179676,85,0
"2784",23478,"Mozart and the Whale",FALSE,1.2e+07,"English","Smaller company",84967,92,5
"2785",23483,"Kick-Ass",TRUE,2.8e+07,"English","Smaller company",96188903,117,9
"2786",23514,"The Rum Diary",FALSE,4.5e+07,"English","Smaller company",2.4e+07,120,7
"2787",23535,"Class of 1999",TRUE,5200000,"English","Smaller company",2459895,99,3
"2788",23601,"We Don't Live Here Anymore",FALSE,3e+06,"English","Smaller company",2037545,101,3
"2789",23629,"Sucker Punch",FALSE,8.2e+07,"English","Smaller company",89792502,110,7
"2790",23631,"Machete",TRUE,2e+07,"English","Warner Bros. Entertainment",31327899,105,9
